"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"X08AD.1",6,0.378044460124092,0.536629605599541,0.361760587648857,5,-0.438370433070447,0.5,9
"X09AP.1",6,0.396578123295022,0.557321799047052,0.318195258146727,5,-0.505173071051572,0.5,9
"X07AH.2",9,0.121041036775332,1.00751902151624,0.227462386315557,1,-3.8972508778269,0.1,9
"X08AP.2",11,0.315583825531415,0.542484741780482,0.383196640390683,5,-0.59212658027934,0.5,9
"X09AP.2",7,0.311340566468617,0.574440214003412,0.566971029989655,6,-0.464044252030999,0.6,9
"X10AL.2",4,1.07712166508597,1.96476734691795,1.93508173287534,3,-0.458712242874117,0.3,9
"X07AK.1",19,0.12405556613475,0.634351523732898,0.237192036878233,1,-2.15140425586934,0.1,9
"X08AF.1",10,0.198475895260386,0.808891291047145,0.470647392089081,2,-1.29696967633728,0.2,9
"X10AN.2",2,0.908995051168945,1.55029523128457,0.627007657077831,3,-1.0227948141884,0.3,9
"X07AM.1",11,0.0576653298029636,0.483678734349643,0.268858957090944,1,-1.58452375608441,0.1,9
"X08AR.1",9,0.790606192940175,0.617094308086331,0.343912433570092,8,0.504523442356094,0.8,9
"X10AT.1",5,0.250589408816402,0.659372716724507,0.444387531422609,3,-0.91988023741232,0.3,9
"X09AR.2",8,0.0367439864252541,0.710329572950912,0.521863672915702,1,-1.29073093507787,0.1,9
"X10AT.2",4,0.880345371153809,0.818469238008092,0.475408569791131,6,0.130153592252033,0.6,9
"X08AI.3",8,0.914844211079492,0.660496193150811,0.377813239147595,7,0.673210971914401,0.7,9
"X08AA.3",3,1.45855820771571,1.14381144044257,0.688111415772075,8,0.45740669324602,0.8,9
"X08AK.3",10,0.173558628831787,0.78773972074397,0.521684811853439,1,-1.17730299590307,0.1,9
"X09AV.3",5,0.0134260330413819,1.08826095667712,0.576809554779526,1,-1.8634138681121,0.1,9
"X08AM.3",9,0.133705495946857,0.948590433741253,0.648773783998,2,-1.25603863456497,0.2,9
"X08AC.3",5,0.828363799622658,0.935934925930907,0.452566836429207,5,-0.237691137859316,0.5,9
"X08AO.3",7,0.141773181170649,0.945627092077483,0.474248833948408,1,-1.69500450684141,0.1,9
"X09AO.3",7,0.190880668757985,0.967470436125422,0.857428016567266,2,-0.905720074877578,0.2,9
"X07AH.3",10,0.105593916502308,0.903348359682341,0.45353776277709,1,-1.7589592502623,0.1,9
"X08AD.3",8,0.549338807857474,0.761471234286982,0.504468167362695,4,-0.420507061007464,0.4,9
"X08AP.3",11,0.59343195427698,0.509223268418856,0.340337057260797,7,0.247427319657393,0.7,9
"X09AP.3",7,0.350454923937291,0.6406182807723,0.346481767262543,4,-0.837456351967694,0.4,9
"X07AK.3",16,0.161134332941433,0.671694681581637,0.320618367114957,1,-1.59242389397219,0.1,9
"X08AF.3",6,0.237203667627022,0.808018824913609,0.608639696004863,3,-0.93785397343197,0.3,9
"X09AK.1",6,0.152321638551973,0.92647390137683,0.407817626663638,1,-1.8982805357341,0.1,9
"X09AK.2",2,3.01208341014045,1.59525667709261,0.827730332148702,9,1.71170087408771,0.9,9
"X09AK.3",3,1.13343364863555,1.13592650167049,0.407038345797664,4,-0.00612436901995531,0.4,9
"X07AM.3",8,0.170349802883082,0.937061665875828,0.777708199825633,3,-0.985860587768841,0.3,9
"X10AT.3",4,0.137629415666583,0.911296407690468,0.469512416322785,2,-1.64780944044725,0.2,9
"X09AL.1",4,1.09921227458536,1.01212863540893,0.464687849028213,5,0.187402445229736,0.5,9
"X09AL.2",2,0.0751430080554127,1.19439213941445,0.331476101613399,1,-3.37656056020721,0.1,9
"X09AL.3",2,1.09615463146996,1.31363991904968,0.255650796175415,2,-0.85071234212194,0.2,9
"X07AN.3",7,0.0347329921777752,0.742092443856794,0.230688140418306,1,-3.06630176304845,0.1,9
"X00AE.1",44,0.17663941661579,0.446060820145257,0.20104067828778,1,-1.34013377702498,0.1,9
"X00AF.1",56,0.110305997158811,0.382267950707855,0.139716089589755,1,-1.9465328177134,0.1,9
"X00AJ.1",58,0.118439289960204,0.376262995803228,0.115253455100872,1,-2.23701498247816,0.1,9
"X00AK.1",33,0.20094549484826,0.350445825811058,0.110657329850847,2,-1.35102058909525,0.2,9
"X00AM.1",26,0.149200313380057,0.37042132642783,0.116046890462978,1,-1.90630711572878,0.1,9
"X00AN.1",66,0.183425059665095,0.331388243583473,0.109746762053162,1,-1.34822368469244,0.1,9
"X00AO.1",29,0.165277164294412,0.510849815064274,0.296385532066575,1,-1.16595654437086,0.1,9
"X02AA.1",41,0.146727231839274,0.414217022830803,0.0835755289677486,1,-3.20057550691367,0.1,9
"X02AB.1",38,0.141017960513257,0.40982014978669,0.138624649660835,1,-1.93906487721409,0.1,9
"X02AC.1",44,0.142826591247958,0.328579959547535,0.095918008653278,1,-1.93658491150534,0.1,9
"X02AD.1",30,0.148042232506682,0.453209165652394,0.163659856983603,1,-1.86464132848586,0.1,9
"X02AE.1",44,0.134146841971789,0.407306703048548,0.176449618298481,1,-1.54808983839616,0.1,9
"X02AF.1",46,0.130565197772829,0.375909416048027,0.136725141479766,1,-1.79443382263025,0.1,9
"X02AG.1",49,0.116119103321733,0.361050160550782,0.123450631968585,1,-1.98404052958902,0.1,9
"X02AH.1",44,0.148641209414609,0.379137991028821,0.101449978297126,1,-2.27202396179066,0.1,9
"X02AI.1",39,0.114657147390806,0.399344359408274,0.107925281988304,1,-2.63781763431778,0.1,9
"X02AK.1",38,0.15118631560696,0.368847636568028,0.132719152469983,1,-1.64001439815022,0.1,9
