"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"X08AC.1",6,0.0995446616710701,0.201621288944524,0.0927196355714649,2,-1.10091704571873,0.2,9
"X08AO.1",10,0.562502745597459,0.841572504897758,0.238501777288634,2,-1.17009509309681,0.2,9
"X09AY.1",14,0.600713535072625,1.10423561629187,0.337097624989567,2,-1.49369809779832,0.2,9
"X08AO.2",6,0.554129290815408,0.841754402995118,0.232956980376851,1,-1.23467050317369,0.1,9
"X09AO.2",12,1.77382156887933,1.33219216628012,0.375814921380656,9,1.1751247155828,0.9,9
"X09AY.2",11,0.342421870791278,0.486141565689107,0.152485129917175,3,-0.942516132398566,0.3,9
"X07AH.1",15,0.739165023284711,1.31992974789029,0.470048990847425,2,-1.23554083917625,0.2,9
"X08AD.1",6,0.320610363790137,0.303066132133866,0.162812232333751,8,0.107757454122408,0.8,9
"X09AP.1",6,0.640022357870608,0.602395210955893,0.250121181894931,7,0.150435667341924,0.7,9
"X07AH.2",9,0.736861906763497,1.24279202198497,0.554884982686719,2,-0.911774747933869,0.2,9
"X08AP.2",11,0.93553729139747,1.14336057855464,0.445357608948819,5,-0.466643620724686,0.5,9
"X09AP.2",7,0.667489156462873,0.617536311703372,0.257419726095228,7,0.194052124587456,0.7,9
"X10AL.2",4,0.0918531210058634,0.068898239374781,0.0304292498055443,7,0.75436896334197,0.7,9
"X07AK.1",19,0.605020000794751,1.45998155056114,0.497855677384959,1,-1.71728793825787,0.1,9
"X08AF.1",10,0.846498595629816,1.16678651063968,0.552385789271259,4,-0.579826493060967,0.4,9
"X10AN.2",2,0.0357859741800313,0.0548777469456432,0.0273391967614959,3,-0.69832968876761,0.3,9
"X07AM.1",11,0.445486146361064,0.558973291483872,0.169220094580691,4,-0.670648160338268,0.4,9
"X08AR.1",9,0.884282101890136,1.34974395719332,0.721756453057935,3,-0.644901550005015,0.3,9
"X10AT.1",5,0.141434284847856,0.325618105465773,0.155822785081527,2,-1.18200826998151,0.2,9
"X09AR.2",8,0.035214813250266,0.129189424365429,0.0888087381743341,1,-1.0581685208801,0.1,9
"X10AT.2",4,0.132101573641861,0.269676390551839,0.132424178966451,2,-1.03889499624409,0.2,9
"X08AI.3",8,0.41414301405697,0.318305867375095,0.119086076432861,8,0.804772056923936,0.8,9
"X08AA.3",3,0.152272389121513,0.158209741869497,0.0561980899182022,6,-0.105650436814239,0.6,9
"X08AK.3",10,0.416045671360663,1.14814180965219,0.44086328788822,1,-1.66059673918041,0.1,9
"X09AV.3",5,0.0128538220626728,0.157490902863462,0.0577362448633382,1,-2.50513487919323,0.1,9
"X08AM.3",9,0.280485793292779,0.942789255840664,0.391091461391251,1,-1.69347461637704,0.1,9
"X08AC.3",5,0.0542432481439985,0.0774574550183686,0.0361487779540536,4,-0.642185107996632,0.4,9
"X08AO.3",7,0.311894880053412,0.520998254308387,0.138058568038497,2,-1.51459903739309,0.2,9
"X09AO.3",7,0.204639189686666,0.134003160557195,0.0532623756036916,9,1.32618998549843,0.9,9
"X07AH.3",10,0.189535642995001,1.08527263062184,0.603140870221645,1,-1.4851206937737,0.1,9
"X08AD.3",8,0.487902836117911,0.53693081783168,0.31265629932195,6,-0.156811111178935,0.6,9
"X08AP.3",11,0.455503317550786,1.03876040763274,0.465992009060701,1,-1.2516461199788,0.1,9
"X09AP.3",7,0.593273294861402,0.568259742313819,0.234351617921957,7,0.106735139144262,0.7,9
"X07AK.3",16,0.671289738861758,1.40727918536837,0.444991589442493,1,-1.65394012823635,0.1,9
"X08AF.3",6,0.667548900992388,0.820716426665145,0.36633679117859,4,-0.418105768683461,0.4,9
"X09AK.1",6,0.133403612460509,0.0785928014226281,0.033725346750602,9,1.62521119332607,0.9,9
"X09AK.2",2,0.294951210630794,0.141455010370872,0.0712674540758525,10,2.15380501871935,1,9
"X09AK.3",3,0.301028640327021,0.155269571515779,0.0743870770915131,10,1.95946761870915,1,9
"X07AM.3",8,0.413581705449933,0.616002090280636,0.293886654029921,4,-0.688770252255466,0.4,9
"X10AT.3",4,0.115096039664358,0.241488282821078,0.115358822702109,2,-1.09564435728598,0.2,9
"X09AL.1",4,0.0150031417052955,0.0134262897998945,0.00482670829661935,7,0.326693019030262,0.7,9
"X09AL.2",2,0.000218986685786992,0.00525277642923935,0.00279309776779656,1,-1.8022246845385,0.1,9
"X09AL.3",2,0.0134081115631639,0.0152802291315769,0.00956732503662756,5,-0.195678265476067,0.5,9
"X07AN.3",7,0.0355838967179641,0.616262528184993,0.323755052049163,1,-1.79357396214114,0.1,9
"X00AE.1",44,1.75598392989727,1.39607915237347,0.252591252903015,8,1.42485051793138,0.8,9
"X00AF.1",56,1.8144910011928,1.44992339238334,0.198478740849982,10,1.83680935927048,1,9
"X00AJ.1",58,1.77422162303223,1.43021872979781,0.181759734298441,10,1.89262431837392,1,9
"X00AK.1",33,1.89474261806496,1.37258782349919,0.325415666109167,10,1.60457792585376,1,9
"X00AM.1",26,1.76587260913374,1.28704062242223,0.323283087362076,10,1.48115384141707,1,9
"X00AN.1",66,1.7705314128878,1.41560304801596,0.19303265315685,10,1.83869598778939,1,9
"X00AO.1",29,1.15536417477997,1.28258169895251,0.336014248468644,4,-0.378607528556642,0.4,9
"X02AA.1",41,1.41590030781788,1.47445332066724,0.178012790614036,5,-0.328925874637353,0.5,9
"X02AB.1",38,1.5064926230691,1.45386061621878,0.240175670255175,6,0.219139627233675,0.6,9
"X02AC.1",44,1.50023487757926,1.37861306678761,0.138824607532072,9,0.876082511261886,0.9,9
"X02AD.1",30,1.64169826988487,1.41765545371181,0.195076855842671,9,1.14848486359522,0.9,9
"X02AE.1",44,1.45086437683282,1.38208358659792,0.253378588641946,6,0.271454626863132,0.6,9
"X02AF.1",46,1.35768065956513,1.38103751291439,0.233922683278561,6,-0.0998486039143402,0.6,9
"X02AG.1",49,1.39505192311523,1.36215610325513,0.238194178309648,6,0.138105054009075,0.6,9
"X02AH.1",44,1.43829465257789,1.43544956548484,0.174651774595212,6,0.016290055452577,0.6,9
"X02AI.1",39,1.31248040219496,1.38775892536765,0.211298310529657,5,-0.356266564479367,0.5,9
"X02AK.1",38,1.41345954088968,1.35722832485911,0.20494089153073,6,0.274377727209911,0.6,9
"X02AM.1",49,1.41928805620638,1.36254076884023,0.220429876458379,7,0.257439183280875,0.7,9
"X02AN.1",55,1.27923811402067,1.41682798288442,0.246336207183441,4,-0.558545048805141,0.4,9
